vol,a280,complex
0,0.235,YiiP
0.033,0.286,YiiP
0.067,0.315,YiiP
0.1,0.261,YiiP
0.133,0.187,YiiP
0.167,0.205,YiiP
0.2,0.243,YiiP
0.233,0.252,YiiP
0.267,0.243,YiiP
0.3,0.232,YiiP
0.333,0.224,YiiP
0.366,0.219,YiiP
0.4,0.215,YiiP
0.433,0.21,YiiP
0.466,0.207,YiiP
0.5,0.206,YiiP
0.533,0.204,YiiP
0.566,0.201,YiiP
0.6,0.198,YiiP
0.633,0.194,YiiP
0.666,0.187,YiiP
0.7,0.184,YiiP
0.733,0.18,YiiP
0.766,0.178,YiiP
0.8,0.174,YiiP
0.833,0.171,YiiP
0.866,0.167,YiiP
0.9,0.164,YiiP
0.933,0.162,YiiP
0.966,0.162,YiiP
0.999,0.163,YiiP
1.033,0.159,YiiP
1.066,0.153,YiiP
1.099,0.149,YiiP
1.133,0.149,YiiP
1.166,0.146,YiiP
1.199,0.144,YiiP
1.233,0.142,YiiP
1.266,0.14,YiiP
1.299,0.139,YiiP
1.333,0.135,YiiP
1.366,0.132,YiiP
1.399,0.131,YiiP
1.433,0.13,YiiP
1.466,0.124,YiiP
1.499,0.12,YiiP
1.533,0.118,YiiP
1.566,0.117,YiiP
1.599,0.115,YiiP
1.632,0.112,YiiP
1.666,0.111,YiiP
1.699,0.109,YiiP
1.732,0.107,YiiP
1.766,0.105,YiiP
1.799,0.104,YiiP
1.832,0.103,YiiP
1.866,0.098,YiiP
1.899,0.095,YiiP
1.932,0.092,YiiP
1.966,0.088,YiiP
1.999,0.083,YiiP
2.032,0.08,YiiP
2.066,0.078,YiiP
2.099,0.075,YiiP
2.132,0.072,YiiP
2.166,0.073,YiiP
2.199,0.073,YiiP
2.232,0.07,YiiP
2.265,0.067,YiiP
2.299,0.065,YiiP
2.332,0.064,YiiP
2.365,0.062,YiiP
2.399,0.059,YiiP
2.432,0.058,YiiP
2.465,0.057,YiiP
2.499,0.055,YiiP
2.532,0.053,YiiP
2.565,0.052,YiiP
2.599,0.051,YiiP
2.632,0.05,YiiP
2.665,0.05,YiiP
2.699,0.049,YiiP
2.732,0.048,YiiP
2.765,0.046,YiiP
2.799,0.044,YiiP
2.832,0.042,YiiP
2.865,0.042,YiiP
2.898,0.04,YiiP
2.932,0.039,YiiP
2.965,0.041,YiiP
2.998,0.041,YiiP
3.032,0.039,YiiP
3.065,0.033,YiiP
3.098,0.031,YiiP
3.132,0.029,YiiP
3.165,0.027,YiiP
3.198,0.028,YiiP
3.232,0.028,YiiP
3.265,0.025,YiiP
3.298,0.022,YiiP
3.332,0.022,YiiP
3.365,0.022,YiiP
3.398,0.023,YiiP
3.432,0.019,YiiP
3.465,0.017,YiiP
3.498,0.018,YiiP
3.531,0.02,YiiP
3.565,0.018,YiiP
3.598,0.017,YiiP
3.631,0.016,YiiP
3.665,0.016,YiiP
3.698,0.014,YiiP
3.731,0.013,YiiP
3.765,0.015,YiiP
3.798,0.012,YiiP
3.831,0.011,YiiP
3.865,0.009,YiiP
3.898,0.009,YiiP
3.931,0.007,YiiP
3.965,0.002,YiiP
3.998,0.004,YiiP
4.031,0.005,YiiP
4.065,0.006,YiiP
4.098,0.004,YiiP
4.131,0.003,YiiP
4.164,0.002,YiiP
4.198,-0.002,YiiP
4.231,-0.004,YiiP
4.264,-0.003,YiiP
4.298,-0.003,YiiP
4.331,-0.007,YiiP
4.364,-0.011,YiiP
4.398,-0.013,YiiP
4.431,-0.014,YiiP
4.464,-0.018,YiiP
4.498,-0.018,YiiP
4.531,-0.017,YiiP
4.564,-0.015,YiiP
4.598,-0.018,YiiP
4.631,-0.02,YiiP
4.664,-0.019,YiiP
4.698,-0.02,YiiP
4.731,-0.022,YiiP
4.764,-0.024,YiiP
4.798,-0.024,YiiP
4.831,-0.025,YiiP
4.864,-0.026,YiiP
4.897,-0.026,YiiP
4.931,-0.025,YiiP
4.964,-0.024,YiiP
4.997,-0.028,YiiP
5.031,-0.03,YiiP
5.064,-0.029,YiiP
5.097,-0.027,YiiP
5.131,-0.028,YiiP
5.164,-0.027,YiiP
5.197,-0.027,YiiP
5.231,-0.029,YiiP
5.264,-0.031,YiiP
5.297,-0.031,YiiP
5.331,-0.03,YiiP
5.364,-0.031,YiiP
5.397,-0.032,YiiP
5.431,-0.032,YiiP
5.464,-0.034,YiiP
5.497,-0.037,YiiP
5.53,-0.041,YiiP
5.564,-0.043,YiiP
5.597,-0.044,YiiP
5.63,-0.045,YiiP
5.664,-0.047,YiiP
5.697,-0.045,YiiP
5.73,-0.043,YiiP
5.764,-0.044,YiiP
5.797,-0.045,YiiP
5.83,-0.046,YiiP
5.864,-0.048,YiiP
5.897,-0.05,YiiP
5.93,-0.053,YiiP
5.964,-0.056,YiiP
5.997,-0.056,YiiP
6.03,-0.056,YiiP
6.064,-0.059,YiiP
6.097,-0.06,YiiP
6.13,-0.059,YiiP
6.163,-0.061,YiiP
6.197,-0.061,YiiP
6.23,-0.061,YiiP
6.263,-0.062,YiiP
6.297,-0.065,YiiP
6.33,-0.067,YiiP
6.363,-0.068,YiiP
6.397,-0.07,YiiP
6.43,-0.072,YiiP
6.463,-0.072,YiiP
6.497,-0.069,YiiP
6.53,-0.07,YiiP
6.563,-0.073,YiiP
6.597,-0.075,YiiP
6.63,-0.095,YiiP
6.663,-0.112,YiiP
6.697,-0.108,YiiP
